Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
MELK3,Melnick,170.500,"4,45","+1,14%",902095040.0,17/02/2024
APER3,Alper,700,"43,28","-1,19%",882513792.0,17/02/2024
BRGE7,Consórcio Alfa,1.600,"11,50","+6,28%",865829312.0,17/02/2024
BRGE3,Consórcio Alfa,100,"11,70","-1,02%",865829184.0,17/02/2024
BRGE8,Consórcio Alfa,200,"11,47","-2,88%",865829056.0,17/02/2024
BRGE11,Consórcio Alfa,4.300,"11,81","+3,51%",865828928.0,17/02/2024
BRGE6,Consórcio Alfa,200,"12,00","+0,08%",865828800.0,17/02/2024
BRGE5,Consórcio Alfa,500,"11,60","+0,00%",865828672.0,17/02/2024
BRGE12,Consórcio Alfa,100,"11,85","+3,77%",865828544.0,17/02/2024
PTBL3,Portobello,463.600,"5,85","+0,86%",824773952.0,17/02/2024
PEAB4,Participações Aliança da Bahia,100,"45,00","+2,25%",822419968.0,17/02/2024
PEAB3,Participações Aliança da Bahia,500,"42,00","+0,00%",822418816.0,17/02/2024
TRIS3,Trisul,383.700,"4,34","+1,64%",790370432.0,17/02/2024
LIPR3,Eletropar,100,"67,01","+0,00%",788365952.0,17/02/2024
CSUD3,CSU Cardsystem,68.700,"18,49","+0,71%",762832704.0,17/02/2024
CLSA3,ClearSale,581.700,"3,90","-1,76%",732911424.0,17/02/2024
SEER3,Ser Educacional,3.523.800,"5,60","-5,41%",718675968.0,17/02/2024
KRSA3,Kora Saúde,144.100,"0,91","-4,21%",699317760.0,17/02/2024
RPAD3,Alfa Holdings,1.200,"8,30","-0,24%",696916992.0,17/02/2024
RPAD6,Alfa Holdings,300,"8,05","-0,12%",696916736.0,17/02/2024
RPAD5,Alfa Holdings,100,"8,31","+1,34%",696916544.0,17/02/2024
SYNE3,SYN,94.100,"4,49","+3,22%",685371520.0,17/02/2024
OIBR3,Oi,24.007.400,"1,05","-0,94%",642186304.0,17/02/2024
OIBR4,Oi,152.600,"2,12","-0,47%",642186176.0,17/02/2024
ALLD3,Allied,10.100,"6,83","+0,15%",636696704.0,17/02/2024
PATI3,Panatlântica,100,"26,19","+0,73%",634282496.0,17/02/2024
PATI4,Panatlântica,200,"33,50","-1,47%",634282304.0,17/02/2024
CRIV4,Alfa Financeira,500,"6,20","-1,12%",630589568.0,17/02/2024
CRIV3,Alfa Financeira,15.000,"6,10","+0,00%",630587520.0,17/02/2024
CASH3,Méliuz,1.616.300,"7,05","-1,40%",610768320.0,17/02/2024
QUAL3,Qualicorp,8.596.400,"2,14","+5,42%",597590720.0,17/02/2024
PFRM3,Profarma,110.800,"4,80","+4,35%",588532800.0,17/02/2024
MTSA3,METISA,100,"79,00","+2,60%",553071104.0,17/02/2024
AMER3,Americanas,24.180.300,"0,59","+3,51%",532487936.0,17/02/2024
IFCM3,Infracommerce,6.010.100,"1,34","+2,29%",527706752.0,17/02/2024
MEAL3,IMC Alimentação,681.600,"1,83","+1,67%",522360704.0,17/02/2024
MTRE3,Mitre Realty,1.271.900,"4,87","+1,46%",515124224.0,17/02/2024
CGRA4,Grazziotin,6.400,"25,50","+1,03%",505846048.0,17/02/2024
CGRA3,Grazziotin,1.200,"24,75","-2,33%",505845440.0,17/02/2024
HBRE3,HBR Realty,445.100,"4,82","+1,47%",494527200.0,17/02/2024
PRNR3,Priner,215.900,"10,98","+0,09%",493230368.0,17/02/2024
BIOM3,Biomm,35.400,"5,36","-1,47%",490314016.0,17/02/2024
AFLT3,Afluente T,500,"7,74","-1,65%",488275552.0,17/02/2024
BGIP4,Banese,100,"25,80","-2,01%",470194656.0,17/02/2024
BGIP3,Banese,200,"27,05","-1,02%",470193920.0,17/02/2024
CAMB3,Cambuci,26.800,"11,20","+3,04%",469596960.0,17/02/2024
DOHL3,Döhler,100,"6,51","-7,00%",459837760.0,17/02/2024
DOHL4,Döhler,500,"4,97","+0,00%",459837312.0,17/02/2024
